Species,Sensitive BLM,Sensitive USFS,ESA Status,G Rank,S Rank,EO Track Status,Work Date,Accession Date,Number of Seeds Collected,Number of Plants Collected From,NCGRP_download_count,NCGRP-Collected,Total,Date Received at NCGRP,Number of Seeds in Germination,Number of Seeds in Lab Storage
Abronia ammophila,,,,,,,8/8/2005,  ,0,  ,139,139,139,11/28/2005,  ,  
Abronia ammophila,,,,,,,8/8/2005,  ,0,  ,439,439,439,11/28/2005,  ,  
Abronia ammophila,,,,,,,8/8/2005,  ,0,  ,1085,1085,1085,11/28/2005,  ,  
Abronia ammophila,,,,,,,8/8/2005,  ,0,  ,1597,1597,1597,11/28/2005,  ,  
Aletes humilis,,,,G2G3,S2S3,Y,6/27/1988,  ,0,  ,395,395,395,8/1/1991,  ,0
Lomatium latilobum,yes,,,G1G2,S1,Y,6/23/2010,11/18/2010,42,  ,42,0,42,2/3/2012,  ,0
Lomatium latilobum,yes,,,G1G2,S1,Y,6/23/2010,11/18/2010,64,  ,64,0,64,2/3/2012,  ,0
Lomatium latilobum,yes,,,G1G2,S1,Y,6/23/2010,11/18/2010,194,  ,64,-130,194,2/3/2012,9,10
Lomatium latilobum,yes,,,G1G2,S1,Y,6/23/2010,11/18/2010,68,  ,68,0,68,2/3/2012,  ,0
Lomatium latilobum,yes,,,G1G2,S1,Y,6/23/2010,11/18/2010,160,  ,144,-16,160,2/3/2012,6,10
Lomatium latilobum,yes,,,G1G2,S1,Y,6/23/2010,11/18/2010,221,  ,199,-22,221,2/3/2012,10,12
Aquilegia micrantha,,,,,,,  ,  ,2484,  ,0,-2484,2484,  ,  ,2484
Astragalus debequaeus,yes,,,G2,S2,Y,7/25/2011,10/14/2011,29,13,29,0,29,2/3/2012,  ,0
Astragalus debequaeus,yes,,,G2,S2,Y,7/25/2011,10/14/2011,38,26,38,0,38,2/3/2012,  ,0
Astragalus debequaeus,yes,,,G2,S2,Y,7/25/2011,10/14/2011,11,4,11,0,11,2/3/2012,  ,0
Astragalus linifolius,yes,,,G3Q,S3,Y,7/14/1987,  ,0,  ,696,696,696,8/1/1991,  ,0
Astragalus microcymbus,yes,,C,G1,S1,Y,7/8/1988,  ,0,  ,85,85,85,8/1/1991,60,0
Astragalus microcymbus,yes,,C,G1,S1,Y,8/12/2008,  ,0,  ,220,220,220,9/24/2008,200,30
Astragalus microcymbus,yes,,C,G1,S1,Y,7/15/2014,  ,3,3,0,-3,3,  ,  ,  
Astragalus microcymbus,yes,,C,G1,S1,Y,7/17/2014,  ,1,1,0,-1,1,  ,  ,  
Astragalus microcymbus,yes,,C,G1,S1,Y,7/15/2014,  ,0,2,0,0,0,  ,  ,  
Astragalus microcymbus,yes,,C,G1,S1,Y,7/16/2014,  ,0,3,0,0,0,  ,  ,  
Astragalus microcymbus,yes,,C,G1,S1,Y,8/5/2014,  ,49,4,0,-49,49,  ,  ,  
Astragalus microcymbus,yes,,C,G1,S1,Y,8/7/2014,  ,19,4,0,-19,19,  ,  ,  
Astragalus microcymbus,yes,,C,G1,S1,Y,8/5/2014,  ,1,1,0,-1,1,  ,  ,  
Astragalus microcymbus,yes,,C,G1,S1,Y,8/5/2014,  ,10,2,0,-10,10,  ,  ,  
Astragalus naturitensis,yes,,,G2G3,S2S3,Y,6/13/2011,11/21/2011,87,8,87,0,87,2/3/2012,  ,0
Astragalus naturitensis,yes,,,G2G3,S2S3,Y,7/25/2011,10/14/2011,31,3,31,0,31,2/3/2012,  ,0
Astragalus osterhoutii,,,LE,G1,S1,Y,8/22/2013,  ,1900,0,0,-1900,1900,  ,  ,1900
Astragalus osterhoutii,,,LE,G1,S1,Y,8/14/1987,  ,0,  ,200,200,200,8/1/1991,  ,0
Astragalus osterhoutii,,,LE,G1,S1,Y,8/28/1992,  ,0,  ,352,352,352,9/1/1992,  ,0
Astragalus osterhoutii,,,LE,G1,S1,Y,8/28/1992,  ,0,  ,1005,1005,1005,9/1/1992,  ,0
Astragalus osterhoutii,,,LE,G1,S1,Y,8/28/1992,  ,0,  ,1403,1403,1403,9/1/1992,  ,0
Astragalus proximus,,yes,,G4,S2,Y,7/13/2011,0000-00-00,0,  ,0,0,0,  ,  ,  
Astragalus ripleyi,yes,yes,,G3,S2,Y,7/28/2012,1/10/2013,309,14,278,-31,309,2/21/2013,  ,30
Astragalus schmolliae,,,C,G1,S1,Y,7/1/1991,  ,0,  ,2698,2698,2698,9/1/1992,  ,0
Arabis fecunda,,,,,,,5/28/1992,  ,0,  ,1560,1560,1560,7/1/1992,  ,0
Arabis fecunda,,,,,,,6/6/1992,  ,0,  ,1401,1401,1401,7/1/1992,  ,0
Arabis fecunda,,,,,,,6/6/1992,  ,0,  ,1840,1840,1840,7/1/1992,  ,0
Arabis fecunda,,,,,,,6/17/1992,  ,0,  ,1070,1070,1070,7/1/1992,  ,0
Arabis fecunda,,,,,,,6/17/1992,  ,0,  ,234,234,234,7/1/1992,  ,0
Arabis fecunda,,,,,,,6/17/1992,  ,0,  ,1200,1200,1200,7/1/1992,  ,0
Arabis pusilla,,,C,,,,7/8/2011,3/8/2012,4100,400,3690,-410,4100,2/21/2013,  ,410
Castilleja christii,,,,,,,8/12/1992,2/5/2014,0,  ,10273,10273,10273,9/1/1992,  ,0
Cirsium ownbeyi,,,,G3,S2,Y,8/27/1988,  ,0,  ,30,30,30,8/1/1991,  ,0
Corispermum americanum,,,,,,,10/15/2013,  ,0,20,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/3/2008,  ,12206,  ,5000,-7206,12206,10/31/2008,  ,7206
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
Corispermum navicula,yes,,,G1?,S1,Y,10/14/2009,  ,0,  ,0,0,0,  ,  ,  
